id, start_year, end_year, min_lat, max_lat, min_lon, max_lon, aoi_area_ha, loss_area_ha, loss_pct, before_mean, after_mean, diff_mean, label

sample_20250822_154447,2022,2024,-9.383098467317406,-9.283098467317407,-65.34029162607914,-65.24029162607914,0.0,32.56242852783203,0.0,0.5100938836149446,0.4996685626467919,-0.010425320968152685,0
sample_20250822_154516,2022,2024,-5.166588018548558,-5.066588018548559,-54.9825657130993,-54.8825657130993,0.0,4.00725849609375,0.0,0.5222283035486686,0.5221444899968617,-8.381355180686612e-05,0
sample_20250822_154556,2022,2024,-1.2134848225760209,-1.1134848225760208,-68.9724779280324,-68.87247792803241,0.0,16.544486678012024,0.0,0.49966580860026166,0.5051693229787741,0.005503514378512486,0
sample_20250822_154701,2022,2024,-4.159838754563802,-4.059838754563803,-65.36705173945302,-65.26705173945302,0.0,0.35669369506835935,0.0,0.4962987062962388,0.4933651473079209,-0.0029335589883178748,0
sample_20250822_154726,2022,2024,-3.235189362593591,-3.1351893625935907,-60.80409008281367,-60.70409008281367,0.0,345.34742918409154,0.0,0.3124628772924005,0.31563330075943286,0.003170423467032335,0
sample_20250822_154827,2022,2024,-1.0035069558827487,-0.9035069558827488,-65.69582035672248,-65.59582035672248,0.0,1.8434339099121095,0.0,0.4952246769601603,0.4903175363734796,-0.004907140586680736,0
sample_20250822_154928,2022,2024,-3.720663867128298,-3.620663867128298,-57.65787972779678,-57.55787972779678,0.0,89.86808958244774,0.0,0.4619515579069072,0.4616325875935047,-0.00031897031340250015,0
sample_20250822_155005,2022,2024,-0.0875221603183931,0.0124778396816069,-62.46151616893071,-62.361516168930706,0.0,9.74432509765625,0.0,0.3164718848561218,0.3242757993179642,0.007803914461842365,0
sample_20250822_155032,2022,2024,-0.6669967684547462,-0.5669967684547462,-68.9548598213638,-68.8548598213638,0.0,8.04534937133789,0.0,0.4845527215370213,0.4823722953815383,-0.002180426155482973,0
sample_20250822_155054,2022,2024,-5.943815741146064,-5.843815741146065,-64.98166260783914,-64.88166260783915,0.0,120.67763102168064,0.0,0.493414307166498,0.4846109836383742,-0.008803323528123796,0
sample_20250822_155134,2022,2024,-8.72998950911569,-8.62998950911569,-65.44237950509284,-65.34237950509285,0.0,4.066191247558594,0.0,0.4970938560729612,0.4847863814982499,-0.012307474574711319,0
sample_20250822_155203,2022,2024,-9.599684007132023,-9.499684007132023,-63.50171157612361,-63.40171157612361,0.0,1014.5173878281778,0.0,0.3437607146384703,0.34128206842602743,-0.00247864621244287,0
sample_20250822_155314,2022,2024,-9.119956479871721,-9.019956479871722,-61.22583251882089,-61.125832518820886,0.0,1045.321190198281,0.0,0.48033686456623326,0.4659317130824665,-0.014405151483766754,0
sample_20250822_155343,2022,2024,-2.6107306077563344,-2.5107306077563343,-67.2918207799249,-67.19182077992491,0.0,220.95023837378406,0.0,0.27360231081144415,0.31535305681240916,0.04175074600096501,0
sample_20250822_155407,2022,2024,-8.135907961172455,-8.035907961172455,-52.658121910841096,-52.558121910841095,0.0,0.5173349581849341,0.0,0.5430512841264455,0.5531919136972329,0.010140629570787318,0
sample_20250822_155437,2022,2024,-6.539614357740855,-6.439614357740855,-56.87968884240166,-56.77968884240166,0.0,50.747259998946845,0.0,0.5061540561091282,0.5034733980331267,-0.0026806580760014853,0
sample_20250822_155508,2022,2024,-0.06385887172087124,0.03614112827912877,-50.008717111374125,-49.90871711137412,0.0,151.55189125280043,0.0,0.41644543268349304,0.43968553933405685,0.023240106650563808,0
sample_20250822_155550,2022,2024,-1.9074916764886591,-1.807491676488659,-60.405721110436225,-60.305721110436224,0.0,73.16037491031422,0.0,0.49455905177250464,0.5042347271640136,0.009675675391508987,0
sample_20250822_155624,2022,2024,-7.151702103510027,-7.051702103510028,-62.91512289904936,-62.815122899049356,0.0,109.81613015861953,0.0,0.37147226785776205,0.3773314409677556,0.005859173109993565,0
sample_20250822_155655,2022,2024,-7.608118361135504,-7.508118361135504,-59.26666855344731,-59.16666855344731,0.0,7.7116652221679685,0.0,0.526276970360328,0.5152311071761482,-0.011045863184179772,0
sample_20250822_155731,2022,2024,-8.739118084005684,-8.639118084005684,-58.40030758176197,-58.30030758176197,0.0,3.2708854431152345,0.0,0.4704989181653085,0.4697061126732007,-0.000792805492107751,0
sample_20250822_155754,2022,2024,-5.904321234045534,-5.804321234045535,-50.878902590164785,-50.77890259016478,0.0,0.9783577697753906,0.0,0.5328704971954288,0.5388460382469413,0.005975541051512545,0
sample_20250822_155820,2022,2024,-2.4167112986026034,-2.3167112986026033,-51.81773044274388,-51.71773044274388,0.0,858.2975458987726,0.0,0.5317988443018331,0.504714782178454,-0.027084062123379105,0
sample_20250822_155857,2022,2024,-5.736213078462805,-5.636213078462806,-59.240261105554254,-59.14026110555425,0.0,0.9786866455078125,0.0,0.5044972075695855,0.5014361823548016,-0.003061025214783908,0
sample_20250822_155930,2022,2024,-9.990697267249146,-9.890697267249147,-63.63479065947424,-63.53479065947424,0.0,985.3385545514976,0.0,0.39370129665000164,0.3726390475799892,-0.021062249070012418,0
sample_20250822_155955,2022,2024,-8.564450880587575,-8.464450880587576,-61.07618154542198,-60.97618154542198,0.0,3.62608525390625,0.0,0.5121661970694504,0.5048708403554397,-0.0072953567140107145,0
sample_20250822_160020,2022,2024,-2.5627737354891957,-2.4627737354891956,-68.37916418247009,-68.2791641824701,0.0,0.6248689017262179,0.0,0.4898346083757822,0.4918478671476375,0.0020132587718553197,0
